NonFruit_Odor Data,TGS2620,TGS2610,TGS2602,MQ4,MQ5,temp,humid
,295,32,260,254,11,24,41
,270,31,241,244,10,24,41
,243,29,211,207,11,24,41
,284,29,244,254,12,24,41
,241,28,209,208,12,24,41
,280,27,245,243,12,24,41
,253,26,208,216,14,24,41
,286,26,244,239,11,24,41
,251,26,212,219,11,24,41
,283,23,236,246,13,24,41
,264,24,237,234,14,24,41
,255,23,229,232,14,24,41
,262,22,231,231,12,24,41
,268,22,235,231,15,24,41
,274,22,247,242,13,24,41
,272,19,242,236,15,24,41
,251,19,214,217,13,24,41
,269,21,240,238,14,24,41
,259,21,223,231,14,24,41
,283,21,262,251,14,24,41
,255,19,228,226,15,24,41
,270,21,236,229,13,24,41
,270,19,242,238,16,24,41
,241,19,218,216,16,24,41
,285,18,252,246,14,24,41
,255,19,221,221,14,24,41
,290,18,246,249,16,24,41
,247,19,220,208,14,24,41
,287,18,247,251,16,24,41
,257,18,218,226,16,24,41
,265,17,234,226,18,24,41
,285,18,242,247,16,24,41
,281,17,249,241,17,24,41
,280,16,249,244,15,24,41
,278,17,240,247,16,24,41
,263,17,228,234,18,24,41
,264,18,228,227,18,24,41
,283,17,245,253,15,24,41
,269,17,234,236,18,24,41
,244,18,225,215,15,24,41
,261,17,225,235,17,24,41
,283,15,249,244,18,24,41
,276,18,235,242,17,24,41
,247,16,226,215,17,24,41
,267,16,236,238,18,24,41
,279,15,239,248,18,24,41
,249,16,222,222,17,24,41
,297,18,246,242,18,24,41
,248,16,223,220,17,24,41
,283,16,254,251,18,24,41
,254,16,222,228,18,24,41
,267,16,232,234,18,24,41
,273,16,244,237,19,24,41
,245,15,228,216,19,24,41
,269,16,240,240,19,24,41
,299,15,252,256,19,24,41
,261,16,232,230,18,24,41
,257,15,218,225,20,24,41
,275,16,238,247,18,24,41
,287,15,258,249,18,24,41
,278,16,243,241,20,24,41
,271,15,234,234,19,24,41
,264,15,232,227,19,24,41
,255,15,225,221,19,24,41
,250,15,229,210,21,24,41
,269,15,235,237,20,24,41
,278,16,252,239,20,24,41
,276,16,254,256,19,24,41
,273,14,246,237,21,24,41
,247,15,226,213,21,24,41
,283,14,240,248,22,24,41
,278,16,236,241,19,24,41
,249,15,225,213,21,24,41
,283,16,235,250,22,24,41
,291,15,258,258,21,24,41
,281,15,248,250,20,24,41
,295,15,259,255,20,24,41
,278,15,249,242,21,24,41
,281,14,240,248,22,24,41
,282,13,247,255,22,24,41
,286,15,252,249,20,24,41
,280,15,244,250,22,24,41
,263,15,219,222,23,24,41
,276,15,236,243,22,24,41
,278,15,246,243,21,24,41
,264,14,219,224,24,24,41
,274,14,240,243,21,24,41
,290,15,250,248,24,24,41
,264,14,227,222,22,24,41
,253,15,239,225,22,24,41
,283,14,250,249,21,24,41
,284,16,257,245,21,24,41
,275,15,253,241,22,24,41
,277,14,246,244,23,24,41
,273,14,235,237,22,24,41
,273,15,237,238,23,24,41
,270,16,232,233,23,24,41
,269,14,233,229,23,24,41
,262,15,235,226,24,24,41
,273,15,228,228,24,24,41
,265,13,233,235,25,24,41
,253,15,218,228,22,24,41
,257,15,230,226,24,24,41
,289,16,246,251,23,24,41
,269,14,233,230,24,24,41
,276,14,242,238,23,24,41
,267,15,220,235,24,24,41
,281,15,244,250,26,24,41
,280,15,250,252,24,24,41
,290,14,240,249,24,24,41
,278,16,243,245,24,24,41
,289,15,242,247,24,24,41
,272,13,240,238,25,24,41
,271,15,231,237,23,24,41
,270,15,225,236,24,24,41
,264,18,219,231,23,24,41
,250,14,224,225,25,24,41
,273,15,224,238,24,24,41
,289,16,247,253,24,24,41
,286,15,252,252,25,24,41
,280,15,241,244,24,24,41
,275,17,243,242,26,24,41
,261,15,217,230,26,24,41
,255,15,222,238,26,24,41
,277,15,230,237,26,24,41
,268,15,232,232,25,24,41
,258,15,238,245,26,24,41
,267,15,238,241,25,24,41
,272,15,238,246,26,24,41
,283,15,245,250,25,24,41
,294,14,248,259,24,24,41
,285,15,253,256,25,24,41
,280,15,241,243,23,24,41
,260,13,227,227,25,24,41
,255,15,219,229,24,24,41
,287,15,246,254,27,24,41
,276,14,240,240,25,24,41
,263,15,218,228,25,24,41
,294,16,249,259,23,24,41
,281,14,259,245,24,24,41
,271,15,235,240,26,24,41
,263,16,220,226,26,24,41
,269,15,224,230,25,24,41
,295,16,248,255,25,24,41
,282,16,268,244,25,24,41
,264,15,217,224,26,24,41
,288,17,251,257,26,24,41
,263,15,217,226,25,24,41
,273,15,238,241,25,24,41
,285,15,242,246,27,24,41
,263,16,226,222,25,24,41
,253,15,221,219,26,24,41
,273,15,239,243,26,24,41
,294,15,253,252,28,24,41
,295,13,245,248,26,24,41
,279,15,241,244,26,24,41
,272,15,237,235,26,24,41
,269,15,238,233,26,24,41
,276,16,236,237,27,24,41
,276,17,244,237,25,24,41
,297,15,250,256,28,24,41
,254,16,226,222,28,24,41
,287,15,252,246,28,24,41
,260,15,229,227,28,24,41
,287,14,260,254,25,24,41
,262,16,219,227,28,24,41
,296,14,257,258,26,24,41
,267,15,227,232,27,24,41
,272,15,239,242,27,24,41
,280,14,247,243,28,24,41
,285,15,241,245,26,24,41
,256,14,218,230,27,24,41
,266,17,240,239,30,24,41
,284,15,244,251,25,24,41
,298,13,253,259,27,24,41
,293,15,255,254,27,24,41
,279,15,241,242,25,24,41
,255,16,234,224,26,24,41
,258,17,230,225,27,24,41
,263,15,218,227,29,24,41
,263,16,231,230,28,24,41
,283,15,245,248,27,24,41
,290,15,253,250,28,24,41
,272,15,235,239,27,24,41
,244,16,221,225,26,24,41
,297,15,258,263,27,24,41
,254,17,231,221,28,24,41
,290,18,255,252,28,24,41
,263,15,229,223,27,24,41
,291,16,252,260,28,24,41
,250,15,229,221,27,24,41
,288,15,253,250,27,24,41
,272,16,239,237,27,24,41
,265,15,229,222,27,24,41
,298,15,253,257,27,24,41
,291,15,245,259,29,24,41
,260,16,231,223,27,24,41
,245,14,233,214,28,24,41
,262,16,231,226,28,24,41
,259,15,239,226,29,24,41
,250,14,225,218,30,24,41
,267,15,239,236,28,24,41
,288,15,238,258,27,24,41
,286,15,259,265,28,24,41
,294,16,244,254,27,24,41
,276,15,242,241,28,24,41
,265,16,234,225,28,24,41
,252,16,223,228,28,24,41
,258,15,226,235,28,24,41
,277,15,238,240,29,24,41
,295,14,256,258,29,24,41
,279,15,241,237,27,24,41
,260,15,224,221,28,24,41
,288,13,249,253,30,24,41
,262,15,218,228,28,24,41
,277,15,238,244,28,24,41
,288,14,252,251,27,24,41
,259,15,224,232,29,24,41
,288,15,246,255,28,24,41
,285,15,258,250,28,24,41
,268,15,227,235,27,24,41
,259,15,225,223,29,24,41
,262,16,228,231,28,24,41
,255,15,235,226,28,24,41
,271,16,231,236,30,24,41
,283,15,253,251,29,24,41
,296,16,256,255,27,24,41
,264,15,224,227,28,24,41
,268,14,236,240,27,24,41
,286,16,262,245,27,24,41
,253,16,223,221,28,24,41
,280,15,253,251,28,24,41
,286,17,262,254,28,24,41
,264,15,220,226,28,24,41
,296,15,259,254,30,24,41
,250,17,222,221,28,24,41
,287,16,250,260,29,24,41
,272,18,242,242,28,24,41
,257,17,229,234,29,24,41
,291,16,248,254,29,24,41
,273,15,231,231,29,24,41
,270,16,212,239,29,24,41
,281,16,242,242,29,24,41
,287,18,253,252,29,24,41
,248,16,232,223,29,24,41
,295,17,249,254,29,24,41
,257,15,229,232,30,24,41
,296,15,261,261,27,24,41
,270,18,235,237,28,24,41
,265,16,229,239,28,24,41
,293,15,263,257,27,24,41
,274,18,236,234,29,24,41
,244,16,229,218,27,24,41
,292,16,249,255,30,24,41
,284,15,255,247,30,24,41
,268,15,233,223,29,24,41
,271,15,237,237,30,24,41
,293,15,251,255,29,24,41
,259,15,233,227,28,24,41
,278,18,255,244,29,24,41
,296,16,243,264,25,24,41
,274,15,243,241,29,24,41
,265,18,243,240,29,24,41
,275,16,242,241,27,24,41
,291,16,250,256,28,24,41
,297,17,252,257,27,24,41
,284,16,247,256,28,24,41
,276,15,243,243,29,24,41
,269,16,237,238,30,24,41
