Ripe_fruit,TGS2620,TGS2610,TGS2602,MQ4,MQ5,temp,humid
grape,277,26,240,239,7,22,32
grape,214,23,191,185,7,22,32
grape,233,24,205,211,8,22,32
grape,217,25,174,182,12,22,32
grape,225,24,190,202,10,22,32
grape,234,26,199,203,8,22,32
grape,216,24,190,196,8,22,32
grape,215,24,188,189,7,22,32
grape,235,26,199,205,8,22,32
grape,224,25,202,199,9,22,32
grape,214,25,200,193,9,22,32
grape,209,24,198,187,7,22,32
grape,224,24,199,202,9,22,32
grape,240,26,197,204,9,22,32
grape,210,26,180,180,9,22,32
grape,241,26,188,202,9,22,32
grape,212,24,185,189,6,22,32
grape,203,24,188,177,9,22,32
grape,229,24,191,200,11,22,32
grape,220,25,202,194,8,22,32
grape,229,24,203,202,9,22,32
grape,241,25,211,212,10,22,32
grape,224,25,201,200,9,22,32
grape,223,25,192,194,10,22,32
grape,207,24,179,191,9,22,32
grape,221,23,188,169,10,22,32
grape,242,25,197,197,10,22,32
grape,221,25,198,198,9,22,32
grape,229,25,167,185,10,22,32
grape,230,26,201,199,9,22,32
grape,203,25,175,183,11,22,32
grape,200,23,192,179,10,22,32
grape,226,25,207,200,12,22,32
grape,206,24,176,174,11,22,32
grape,207,24,194,170,13,22,32
grape,222,26,197,196,11,22,32
grape,203,24,173,177,11,22,32
grape,221,25,194,196,12,22,32
grape,231,24,191,194,14,22,32
grape,195,24,183,181,11,22,32
grape,207,29,182,182,11,22,32
grape,223,24,189,198,12,22,32
grape,237,25,199,202,12,22,32
grape,207,25,188,182,12,22,32
grape,207,25,177,184,13,22,32
grape,203,25,177,176,12,22,32
grape,213,25,177,182,12,22,32
grape,211,25,194,187,12,22,32
grape,209,25,192,182,12,22,32
grape,222,25,202,198,12,22,32
grape,213,25,190,185,12,22,32
grape,213,25,167,186,13,22,32
grape,210,25,187,182,11,22,32
grape,219,25,189,191,11,22,32
grape,205,25,167,179,15,22,32
grape,230,28,199,191,13,22,32
grape,201,25,175,177,12,22,32
grape,223,26,198,205,13,22,32
grape,222,25,173,181,13,22,32
grape,217,25,185,191,16,22,32
grape,234,27,193,206,15,22,32
grape,225,23,184,190,14,22,32
grape,217,25,188,192,14,22,32
grape,213,28,186,191,14,22,32
grape,206,23,180,181,14,22,32
grape,189,26,163,173,14,22,32
grape,191,25,166,179,16,22,32
grape,208,27,174,175,13,22,32
grape,187,23,178,176,16,22,32
grape,201,25,176,171,15,22,32
grape,226,24,193,206,15,22,32
grape,209,25,180,172,14,22,32
grape,211,26,179,185,15,22,32
grape,214,25,188,187,15,22,32
grape,196,25,180,178,16,22,32
grape,223,26,191,187,16,22,32
grape,217,26,191,182,14,22,32
grape,189,25,168,167,15,22,32
grape,217,24,194,190,16,22,32
grape,197,25,171,164,16,22,32
grape,223,25,196,193,16,22,32
grape,183,26,167,166,16,22,32
grape,217,26,197,195,16,22,32
grape,208,25,187,184,16,22,32
grape,200,26,192,177,17,22,32
grape,205,26,190,185,16,22,32
grape,199,26,170,173,15,22,32
grape,228,26,190,198,18,22,32
grape,186,26,164,166,20,22,32
grape,208,26,179,181,18,22,32
grape,224,25,199,195,17,22,32
grape,200,26,190,181,17,22,32
grape,199,24,177,170,19,22,32
grape,206,25,175,182,15,22,32
grape,211,25,183,184,16,22,32
grape,219,26,197,202,19,22,32
grape,209,25,198,188,17,22,32
grape,202,25,175,178,18,22,32
grape,199,24,175,178,18,22,32
grape,205,25,187,187,18,22,32
grape,214,26,198,193,18,22,32
grape,190,25,171,164,19,22,32
grape,233,26,188,190,20,22,32
grape,204,27,183,178,17,22,32
grape,186,26,175,180,18,22,32
grape,213,26,184,188,20,22,32
grape,201,26,181,184,19,22,32
grape,190,27,172,173,19,22,32
grape,188,25,147,161,20,22,32
grape,188,26,159,163,20,22,32
grape,187,27,170,150,19,22,32
grape,201,25,161,179,22,22,32
grape,192,25,176,170,20,22,32
grape,215,26,189,184,19,22,32
grape,200,28,174,179,19,22,32
grape,204,26,181,173,20,22,32
grape,208,25,184,184,21,22,32
grape,190,25,170,163,22,22,32
grape,213,26,186,186,23,22,32
grape,188,27,169,167,21,22,32
grape,213,25,192,187,22,22,32
grape,190,26,152,175,19,22,32
grape,198,28,182,179,20,22,32
grape,185,26,176,169,21,22,32
grape,169,25,157,155,20,22,32
grape,194,25,173,176,22,22,32
grape,205,26,168,183,20,22,32
grape,178,27,151,157,20,22,32
grape,195,26,173,180,21,22,32
grape,179,26,162,163,22,22,32
grape,180,28,158,168,21,22,32
grape,209,27,171,180,22,22,32
grape,168,27,145,155,20,22,32
grape,201,25,170,177,22,22,32
grape,165,25,152,165,24,22,32
grape,208,25,169,181,22,22,32
grape,160,27,148,137,21,22,32
grape,197,27,170,173,21,22,32
grape,173,26,146,162,26,22,32
grape,188,27,157,163,22,22,32
grape,193,27,163,168,23,22,32
grape,168,26,135,172,22,22,32
grape,195,25,169,179,22,22,32
grape,195,26,176,163,23,22,32
grape,175,26,160,148,24,22,32
grape,185,27,165,171,23,22,32
grape,181,26,178,160,24,22,32
grape,181,27,173,155,22,22,32
grape,193,27,171,179,24,22,32
grape,172,30,161,142,23,22,32
grape,168,28,162,163,24,22,32
grape,188,27,161,165,24,22,32
grape,176,28,157,155,23,22,32
grape,180,28,162,168,23,22,32
grape,186,29,165,165,24,22,32
grape,160,27,155,158,24,22,32
grape,178,25,154,157,25,22,32
grape,189,27,166,167,24,22,32
grape,207,25,176,178,27,22,32
grape,190,27,164,172,24,22,32
grape,173,27,153,143,24,22,32
grape,168,26,159,148,24,22,32
grape,191,27,167,168,24,22,32
grape,201,27,172,182,25,22,32
grape,203,26,168,185,25,22,32
grape,185,26,165,166,27,22,32
grape,165,27,150,161,25,22,32
grape,174,25,147,146,25,22,32
grape,180,28,160,157,25,22,32
grape,193,28,168,177,25,22,32
grape,162,25,152,140,26,22,32
grape,183,27,172,159,25,22,32
grape,182,27,157,160,26,22,32
grape,167,26,134,140,24,22,32
grape,183,26,160,162,25,22,32
grape,179,27,163,165,24,22,32
grape,157,27,154,146,26,22,32
grape,169,29,151,148,25,22,32
grape,183,26,166,162,25,22,32
grape,162,27,162,143,26,22,32
grape,191,28,162,172,27,22,32
grape,149,26,150,138,28,22,32
grape,181,27,164,157,25,22,32
grape,161,27,153,163,27,22,32
grape,174,27,163,158,26,22,32
grape,181,26,162,166,28,22,32
grape,228,29,202,195,27,22,32
grape,190,26,165,167,25,22,32
grape,167,27,151,151,28,22,32
grape,185,27,165,165,27,22,32
grape,163,27,154,153,27,22,32
