UnRipe_fruit,TGS2620,TGS2610,TGS2602,MQ4,MQ5,temp,humid
pomegranate,275,27,238,240,30,22,32
pomegranate,247,28,222,212,30,22,32
pomegranate,223,28,200,192,29,22,32
pomegranate,228,26,204,207,30,22,32
pomegranate,254,28,215,226,31,22,32
pomegranate,240,30,212,211,29,22,32
pomegranate,237,29,194,204,30,22,32
pomegranate,239,27,211,210,33,22,32
pomegranate,241,27,205,210,34,22,32
pomegranate,230,28,207,197,29,22,32
pomegranate,229,27,203,209,32,22,32
pomegranate,234,27,204,207,31,22,32
pomegranate,228,28,204,206,33,22,32
pomegranate,211,27,192,204,33,22,32
pomegranate,233,27,203,210,34,22,32
pomegranate,235,28,220,206,31,22,32
pomegranate,222,28,202,196,33,22,32
pomegranate,210,28,195,189,32,22,32
pomegranate,208,27,190,189,33,22,32
pomegranate,226,27,198,202,33,22,32
pomegranate,230,27,204,204,33,22,32
pomegranate,238,29,199,209,31,22,32
pomegranate,237,28,200,211,34,22,32
pomegranate,225,28,204,198,33,22,32
pomegranate,240,28,212,205,33,22,32
pomegranate,228,29,203,202,33,22,32
pomegranate,223,27,196,202,36,22,32
pomegranate,227,28,201,207,33,22,32
pomegranate,227,28,201,201,34,22,32
pomegranate,226,28,195,202,36,22,32
pomegranate,226,30,204,196,35,22,32
pomegranate,223,28,195,196,32,22,32
pomegranate,216,28,194,194,34,22,32
pomegranate,210,27,187,186,38,22,32
pomegranate,200,31,173,185,34,22,32
pomegranate,209,27,173,183,35,22,32
pomegranate,213,29,190,190,36,22,32
pomegranate,220,28,190,194,37,22,32
pomegranate,212,29,183,186,38,22,32
pomegranate,196,29,170,183,37,22,32
pomegranate,227,29,192,206,36,22,32
pomegranate,207,30,182,179,36,22,32
pomegranate,201,29,186,184,35,22,32
pomegranate,205,28,181,181,37,22,32
pomegranate,205,29,183,185,36,22,32
pomegranate,196,29,176,171,37,22,32
pomegranate,212,29,191,189,36,22,32
pomegranate,196,29,173,178,38,22,32
pomegranate,176,29,166,155,36,22,32
pomegranate,197,29,174,171,35,22,32
pomegranate,209,27,179,178,38,22,32
pomegranate,208,28,188,188,37,22,32
pomegranate,214,30,184,190,38,22,32
pomegranate,217,27,189,193,40,22,32
pomegranate,218,29,186,191,40,22,32
pomegranate,209,29,180,184,38,22,32
pomegranate,198,27,170,170,37,22,32
pomegranate,173,28,150,158,38,22,32
pomegranate,190,29,171,173,39,22,32
pomegranate,196,29,179,174,38,22,32
pomegranate,207,30,177,193,39,22,32
pomegranate,203,29,176,179,39,22,32
pomegranate,195,30,166,169,39,22,32
pomegranate,185,30,162,164,39,22,32
pomegranate,186,31,148,166,40,22,32
pomegranate,178,30,168,167,40,22,32
pomegranate,195,30,172,173,39,22,32
pomegranate,204,31,174,180,37,22,32
pomegranate,172,30,160,159,40,22,32
pomegranate,178,29,157,172,40,22,32
pomegranate,188,29,179,168,40,22,32
pomegranate,189,30,170,170,38,22,32
pomegranate,160,30,150,152,42,22,32
pomegranate,175,30,154,158,41,22,32
pomegranate,177,31,154,154,41,22,32
pomegranate,184,32,155,157,41,22,32
pomegranate,177,30,164,166,42,22,32
pomegranate,184,31,174,164,41,22,32
pomegranate,184,31,174,171,39,22,32
pomegranate,183,30,165,159,40,22,32
pomegranate,170,30,152,153,41,22,32
pomegranate,174,30,154,150,41,22,32
pomegranate,192,32,169,172,41,22,32
pomegranate,183,30,169,158,40,22,32
pomegranate,178,30,157,158,43,22,32
pomegranate,165,30,151,146,42,22,32
pomegranate,165,30,142,154,42,22,32
pomegranate,182,30,138,152,42,22,32
pomegranate,175,31,158,156,44,22,32
pomegranate,171,30,152,161,42,22,32
pomegranate,163,30,160,150,42,22,32
pomegranate,167,30,137,143,42,22,32
pomegranate,163,30,145,141,41,22,32
pomegranate,157,30,150,146,43,22,32
pomegranate,176,32,154,153,41,22,32
pomegranate,185,31,155,160,46,22,32
pomegranate,176,31,158,156,43,22,32
pomegranate,175,32,156,157,43,22,32
pomegranate,177,29,160,163,42,22,32
pomegranate,181,31,167,165,42,22,32
pomegranate,175,29,145,156,43,22,32
pomegranate,149,31,145,138,42,22,32
pomegranate,177,32,161,158,42,22,32
pomegranate,162,32,146,143,43,22,32
pomegranate,181,31,158,164,44,22,32
pomegranate,153,32,139,139,43,22,32
pomegranate,175,31,159,163,43,22,32
pomegranate,142,32,133,136,43,22,32
pomegranate,170,30,150,155,44,22,32
pomegranate,175,31,151,153,43,22,32
pomegranate,164,31,145,144,44,22,32
pomegranate,163,31,144,142,44,22,32
pomegranate,166,33,148,151,45,22,32
pomegranate,157,31,141,143,44,22,32
pomegranate,170,33,151,151,44,22,32
pomegranate,166,31,145,145,44,22,32
pomegranate,153,32,129,146,46,22,32
pomegranate,165,31,147,154,47,22,32
pomegranate,176,32,162,162,45,22,32
pomegranate,150,33,141,149,45,22,32
pomegranate,153,31,129,139,47,22,32
pomegranate,143,31,134,132,46,22,32
pomegranate,173,32,148,147,45,22,32
pomegranate,154,31,118,132,43,22,32
pomegranate,166,34,148,150,45,22,32
pomegranate,164,32,139,147,45,22,32
pomegranate,134,32,130,124,45,22,32
pomegranate,157,31,144,146,46,22,32
pomegranate,158,32,144,142,46,22,32
pomegranate,155,32,136,132,46,22,32
pomegranate,148,32,139,137,47,22,32
pomegranate,166,31,150,153,45,22,32
pomegranate,139,31,123,118,46,22,32
pomegranate,172,32,151,157,45,22,32
pomegranate,134,33,131,119,47,22,32
pomegranate,159,32,143,143,46,22,32
pomegranate,157,32,150,141,46,22,32
pomegranate,151,34,127,134,47,22,32
pomegranate,145,31,131,118,46,22,32
pomegranate,143,33,128,132,48,22,32
pomegranate,146,34,140,133,45,22,32
pomegranate,157,32,145,139,46,22,32
pomegranate,180,33,148,144,46,22,32
pomegranate,141,33,131,128,46,22,32
pomegranate,131,32,130,126,46,22,32
pomegranate,156,32,141,145,46,22,32
pomegranate,155,32,150,138,46,22,32
pomegranate,145,32,128,129,47,22,32
pomegranate,141,31,128,115,47,22,32
pomegranate,170,33,143,148,46,22,32
pomegranate,143,33,120,127,50,22,32
pomegranate,152,34,133,136,47,22,32
pomegranate,163,33,148,148,45,22,32
pomegranate,136,32,120,124,48,22,32
pomegranate,129,33,118,121,46,22,32
pomegranate,145,33,128,129,47,22,32
pomegranate,156,32,146,141,47,22,32
pomegranate,147,33,128,131,47,22,32
pomegranate,129,32,116,116,49,22,32
pomegranate,132,33,111,131,47,22,32
pomegranate,134,34,128,119,48,22,32
pomegranate,138,33,124,123,47,22,32
pomegranate,137,33,123,130,49,22,32
pomegranate,164,34,141,141,47,22,32
pomegranate,156,34,134,141,47,22,32
pomegranate,153,34,132,137,46,22,32
pomegranate,143,33,131,129,47,22,32
pomegranate,135,34,122,128,49,22,32
pomegranate,135,32,111,127,48,22,32
pomegranate,154,33,132,141,48,22,32
pomegranate,148,32,128,132,48,22,32
pomegranate,124,31,112,111,50,22,32
pomegranate,138,35,124,123,49,22,32
pomegranate,162,35,144,146,47,22,32
pomegranate,131,33,103,128,48,22,32
pomegranate,145,33,125,127,48,22,32
pomegranate,139,33,130,129,48,22,32
pomegranate,131,33,114,117,49,22,32
pomegranate,147,33,132,136,50,22,32
pomegranate,131,34,122,118,49,22,32
pomegranate,149,33,129,131,49,22,32
pomegranate,127,32,112,117,49,22,32
pomegranate,146,33,135,135,48,22,32
pomegranate,135,31,117,129,50,22,32
pomegranate,110,33,105,101,48,22,32
pomegranate,129,36,116,122,50,22,32
pomegranate,138,33,120,123,49,22,32
pomegranate,147,33,119,126,49,22,32
pomegranate,134,34,119,123,47,22,32
pomegranate,131,34,116,119,48,22,32
pomegranate,129,34,130,131,49,22,32
pomegranate,152,34,137,131,48,22,32
pomegranate,150,34,132,134,49,22,32
pomegranate,120,33,111,110,48,22,32
pomegranate,134,36,127,121,49,22,32
pomegranate,128,34,115,124,48,22,32
pomegranate,148,35,124,133,49,22,32
pomegranate,122,33,115,110,49,22,32
pomegranate,149,34,137,127,49,22,32
pomegranate,107,34,98,103,49,22,32
pomegranate,140,33,132,127,49,22,32
pomegranate,133,33,121,122,51,22,32
pomegranate,113,34,101,107,49,22,32
pomegranate,158,34,133,139,47,22,32
pomegranate,128,34,118,114,48,22,32
pomegranate,122,36,122,101,49,22,32
pomegranate,139,34,134,128,51,22,32
pomegranate,107,34,118,106,50,22,32
pomegranate,159,33,133,137,49,22,32
pomegranate,125,33,101,113,52,22,32
pomegranate,147,34,130,126,48,22,32
pomegranate,125,35,109,119,50,22,32
pomegranate,140,35,133,128,49,22,32
pomegranate,119,33,119,104,49,22,32
pomegranate,148,33,128,130,49,22,32
pomegranate,124,36,115,116,48,22,32
pomegranate,134,35,131,121,49,22,32
pomegranate,129,34,119,114,47,22,32
pomegranate,127,35,109,112,50,22,32
pomegranate,137,35,128,121,50,22,32
pomegranate,113,35,109,109,50,22,32
pomegranate,130,34,113,116,50,22,32
pomegranate,136,36,135,136,49,22,32
pomegranate,144,39,127,132,51,22,32
pomegranate,139,36,128,126,52,22,32
pomegranate,120,36,111,108,49,22,32
pomegranate,123,34,118,114,52,22,32
pomegranate,119,34,106,124,52,22,32
pomegranate,131,36,108,112,51,22,32
pomegranate,120,34,109,113,51,22,32
pomegranate,130,34,114,112,51,22,32
pomegranate,147,35,126,128,52,22,32
pomegranate,139,33,133,126,52,22,32
pomegranate,113,33,109,102,52,22,32
pomegranate,150,33,123,131,51,22,32
pomegranate,130,33,128,118,52,22,32
pomegranate,134,36,120,121,49,22,32
pomegranate,127,36,119,119,51,22,32
pomegranate,144,34,132,122,52,22,32
pomegranate,125,33,113,112,54,22,32
pomegranate,145,34,134,138,53,22,32
pomegranate,121,34,105,106,51,22,32
pomegranate,150,34,130,126,52,22,32
pomegranate,108,35,113,101,51,22,32
pomegranate,146,35,120,145,52,22,32
pomegranate,120,34,118,117,52,22,32
pomegranate,144,31,121,128,54,22,32
pomegranate,118,35,110,118,50,22,32
pomegranate,141,34,129,127,52,22,32
pomegranate,123,34,102,107,51,22,32
pomegranate,149,34,125,136,52,22,32
pomegranate,134,34,116,115,51,22,32
pomegranate,136,33,123,118,51,22,32
pomegranate,128,34,113,113,51,22,32
pomegranate,132,34,120,128,52,22,32
pomegranate,131,34,123,117,51,22,32
pomegranate,121,34,107,107,50,22,32
pomegranate,140,34,124,133,51,22,32
pomegranate,112,34,104,96,52,22,32
pomegranate,143,33,134,131,52,22,32
pomegranate,128,36,95,109,53,22,32
pomegranate,138,34,133,125,52,22,32
pomegranate,124,34,89,118,52,22,32
pomegranate,136,33,124,126,51,22,32
pomegranate,127,33,116,114,51,22,32
pomegranate,133,34,120,119,52,22,32
pomegranate,127,34,114,110,53,22,32
pomegranate,133,34,123,126,52,22,32
pomegranate,103,34,102,96,51,22,32
pomegranate,151,34,124,137,52,22,32
pomegranate,132,34,121,122,54,22,32
pomegranate,112,32,102,105,51,22,32
pomegranate,139,34,123,132,52,22,32
pomegranate,130,33,114,116,52,22,32
pomegranate,106,33,100,108,52,22,32
pomegranate,130,34,113,113,51,22,32
pomegranate,132,33,121,125,52,22,32
pomegranate,140,34,134,126,52,22,32
pomegranate,138,35,119,124,52,22,32
pomegranate,132,33,120,121,52,22,32
pomegranate,127,35,119,118,52,22,32
pomegranate,115,35,111,107,50,22,32
pomegranate,121,33,117,110,50,22,32
pomegranate,133,35,112,122,53,22,32
pomegranate,132,33,115,115,52,22,32
pomegranate,131,33,114,116,52,22,32
pomegranate,125,33,119,116,52,22,32
pomegranate,112,34,101,103,53,22,32
pomegranate,121,35,89,113,53,22,32
pomegranate,139,34,117,125,51,22,32
pomegranate,124,33,111,117,52,22,32
pomegranate,133,34,116,120,52,22,32
pomegranate,113,36,111,107,51,22,32
pomegranate,129,35,119,115,52,22,32
pomegranate,135,35,122,130,53,22,32
pomegranate,105,35,105,94,53,22,32
pomegranate,130,36,117,120,51,22,32
pomegranate,128,34,125,124,52,22,32
pomegranate,126,36,115,116,52,22,32
pomegranate,116,35,103,102,50,22,32
pomegranate,119,35,111,123,53,22,32
pomegranate,139,35,120,123,52,22,32
pomegranate,113,34,108,109,51,22,32
pomegranate,122,36,114,112,51,22,32
pomegranate,136,35,129,124,53,22,32
pomegranate,122,33,109,113,52,22,32
pomegranate,115,34,109,115,52,22,32
pomegranate,129,35,113,115,51,22,32
pomegranate,136,34,125,117,54,22,32
pomegranate,120,34,112,108,51,22,32
pomegranate,114,35,100,97,52,22,32
pomegranate,122,33,105,105,52,22,32
pomegranate,137,35,118,126,52,22,32
pomegranate,135,34,111,117,52,22,32
pomegranate,121,35,115,115,52,22,32
pomegranate,113,34,106,96,52,22,32
pomegranate,128,35,105,110,52,22,32
pomegranate,131,37,117,116,52,22,32
pomegranate,121,35,113,118,49,22,32
pomegranate,115,35,88,106,52,22,32
pomegranate,115,36,93,105,52,22,32
pomegranate,121,34,112,112,52,22,32
pomegranate,128,35,121,120,52,22,32
pomegranate,128,35,124,113,52,22,32
pomegranate,132,36,124,131,52,22,32
pomegranate,133,35,130,119,51,22,32
pomegranate,129,35,124,112,51,22,32
pomegranate,123,35,107,119,52,22,32
pomegranate,110,36,113,109,53,22,32
pomegranate,118,35,106,100,52,22,32
pomegranate,118,36,108,113,52,22,32
pomegranate,123,35,90,100,52,22,32
pomegranate,110,35,103,98,54,22,32
pomegranate,102,36,100,102,54,22,32
pomegranate,100,35,96,98,50,22,32
pomegranate,108,37,94,100,51,22,32
pomegranate,96,35,97,86,52,22,32
pomegranate,103,35,102,98,52,22,32
pomegranate,120,38,112,106,52,22,32
pomegranate,122,36,123,117,54,22,32
pomegranate,123,35,132,116,53,22,32
pomegranate,133,36,125,121,52,22,32
pomegranate,126,36,127,112,51,22,32
pomegranate,139,35,124,124,53,22,32
pomegranate,126,33,111,110,50,22,32
pomegranate,112,37,101,100,51,22,32
pomegranate,117,37,110,101,52,22,32
pomegranate,132,36,118,117,52,22,32
pomegranate,110,36,107,112,52,22,32
pomegranate,119,35,102,108,52,22,32
pomegranate,130,36,113,128,52,22,32
pomegranate,118,37,96,106,51,22,32
pomegranate,126,38,114,113,51,22,32
pomegranate,122,36,110,110,52,22,32
pomegranate,111,35,104,107,52,22,32
pomegranate,140,36,119,133,51,22,32
pomegranate,116,37,103,111,51,22,32
pomegranate,113,35,94,100,54,22,32
pomegranate,131,35,126,120,53,22,32
pomegranate,95,36,95,85,51,22,32
pomegranate,134,37,121,120,51,22,32
pomegranate,108,36,109,93,51,22,32
pomegranate,117,36,106,108,52,22,32
pomegranate,124,36,114,118,51,22,32
pomegranate,114,38,98,98,50,22,32
pomegranate,135,37,115,131,52,22,32
pomegranate,105,36,105,98,52,22,32
pomegranate,123,36,127,122,52,22,32
pomegranate,105,36,101,104,52,22,32
pomegranate,122,36,111,113,51,22,32
pomegranate,123,35,107,115,50,22,32
pomegranate,111,36,107,106,51,22,32
pomegranate,115,36,110,116,52,22,32
pomegranate,131,37,115,124,50,22,32
pomegranate,104,37,102,104,49,22,32
pomegranate,125,36,132,112,53,22,32
pomegranate,108,36,105,94,52,22,32
pomegranate,138,38,118,133,51,22,32
pomegranate,120,35,104,111,53,22,32
pomegranate,117,36,105,106,51,22,32
pomegranate,122,35,115,103,54,22,32
pomegranate,119,38,93,102,51,22,32
pomegranate,124,36,110,114,51,22,32
pomegranate,131,35,118,129,51,22,32
pomegranate,115,36,102,100,51,22,32
pomegranate,99,35,101,88,51,22,32
pomegranate,115,37,99,106,51,22,32
pomegranate,127,37,116,119,51,22,32
pomegranate,125,35,107,111,51,22,32
pomegranate,108,37,97,100,51,22,32
pomegranate,134,37,117,118,54,22,32
pomegranate,97,35,99,92,52,22,32
pomegranate,120,38,106,114,50,22,32
pomegranate,128,37,114,114,51,22,32
pomegranate,100,37,99,91,52,22,32
pomegranate,116,36,96,107,50,22,32
pomegranate,128,38,129,114,51,22,32
pomegranate,133,37,108,125,51,22,32
pomegranate,106,37,101,95,52,22,32
pomegranate,93,37,95,97,51,22,32
pomegranate,105,37,104,98,52,22,32
pomegranate,100,37,102,98,51,22,32
pomegranate,106,36,98,96,51,22,32
pomegranate,88,37,99,92,51,22,32
pomegranate,111,35,103,103,52,22,32
pomegranate,104,35,98,100,52,22,32
pomegranate,109,35,99,100,52,22,32
pomegranate,109,37,96,95,50,22,32
pomegranate,116,39,105,99,51,22,32
pomegranate,118,38,110,111,51,22,32
pomegranate,120,37,104,115,51,22,32
pomegranate,118,36,110,112,52,22,32
pomegranate,132,35,112,124,52,22,32
pomegranate,134,38,119,123,51,22,32
pomegranate,138,37,114,131,50,22,32
pomegranate,116,39,111,113,52,22,32
pomegranate,117,37,89,98,50,22,32
pomegranate,116,36,97,105,51,22,32
pomegranate,128,36,105,119,52,22,32
pomegranate,125,38,124,108,49,22,32
pomegranate,138,37,120,124,51,22,32
pomegranate,121,37,111,111,53,22,32
pomegranate,108,38,80,104,52,22,32
pomegranate,110,36,91,101,51,22,32
pomegranate,110,35,102,96,52,22,32
pomegranate,136,35,115,126,51,22,32
pomegranate,122,36,114,114,51,22,32
pomegranate,103,37,107,98,51,22,32
pomegranate,103,37,98,98,53,22,32
pomegranate,103,37,99,88,50,22,32
pomegranate,109,38,110,88,49,22,32
pomegranate,114,39,108,107,50,22,32
pomegranate,122,38,112,112,51,22,32
pomegranate,133,39,114,112,51,22,32
pomegranate,120,38,108,109,51,22,32
pomegranate,122,35,107,106,53,22,32
pomegranate,109,39,92,96,52,22,32
pomegranate,106,37,83,105,49,22,32
pomegranate,96,37,101,99,50,22,32
pomegranate,121,38,112,117,50,22,32
pomegranate,122,37,124,111,50,22,32
pomegranate,125,38,112,115,51,22,32
pomegranate,111,38,101,98,51,22,32
pomegranate,105,38,100,100,49,22,32
pomegranate,106,38,84,102,50,22,32
pomegranate,133,37,108,113,51,22,32
pomegranate,111,38,105,103,51,22,32
pomegranate,93,38,100,100,52,22,32
pomegranate,93,38,102,98,52,22,32
pomegranate,133,39,123,120,49,22,32
pomegranate,117,38,102,102,49,22,32
pomegranate,92,38,99,96,49,22,32
pomegranate,117,38,114,108,51,22,32
pomegranate,126,38,115,118,51,22,32
pomegranate,109,35,101,102,52,22,32
pomegranate,100,39,91,90,51,22,32
pomegranate,116,37,99,109,50,22,32
pomegranate,124,39,109,114,51,22,32
pomegranate,138,37,117,132,52,22,32
pomegranate,117,38,129,115,50,22,32
pomegranate,126,37,128,112,51,22,32
pomegranate,128,38,116,120,50,22,32
pomegranate,131,38,119,119,51,22,32
pomegranate,129,37,107,117,51,22,32
pomegranate,121,39,107,112,51,22,32
pomegranate,118,39,110,113,49,22,32
pomegranate,120,39,110,111,52,22,32
pomegranate,132,40,108,120,50,22,32
pomegranate,117,38,120,106,52,22,32
pomegranate,125,37,118,118,51,22,32
pomegranate,110,40,95,102,51,22,32
pomegranate,108,39,88,97,51,22,32
pomegranate,116,39,105,109,50,22,32
pomegranate,131,38,122,120,49,22,32
pomegranate,115,38,108,105,51,22,32
pomegranate,103,38,97,101,50,22,32
pomegranate,106,39,100,103,50,22,32
pomegranate,121,37,117,117,50,22,32
pomegranate,113,39,112,118,52,22,32
pomegranate,134,37,109,125,51,22,32
pomegranate,114,38,103,100,49,22,32
pomegranate,96,39,90,100,50,22,32
pomegranate,121,39,85,103,50,22,32
pomegranate,120,39,110,109,50,22,32
pomegranate,134,41,118,112,51,22,32
pomegranate,107,42,102,98,49,22,32
pomegranate,102,38,98,109,50,22,32
pomegranate,125,39,120,116,52,22,32
pomegranate,117,39,103,107,50,22,32
pomegranate,109,38,98,96,50,22,32
pomegranate,95,39,90,92,49,22,32
pomegranate,101,39,85,101,50,22,32
pomegranate,114,42,103,98,51,22,32
pomegranate,121,39,115,111,51,22,32
pomegranate,125,39,113,103,50,22,32
pomegranate,120,38,113,105,51,22,32
pomegranate,128,39,113,115,49,22,32
pomegranate,131,38,117,126,50,22,32
pomegranate,129,39,110,113,50,22,32
pomegranate,128,38,114,117,50,22,32
pomegranate,112,39,97,95,50,22,32
pomegranate,109,37,91,103,50,22,32
pomegranate,116,38,105,110,52,22,32
pomegranate,124,38,123,122,53,22,32
pomegranate,110,38,99,97,51,22,32
pomegranate,105,40,109,105,50,22,32
pomegranate,132,40,124,113,48,22,32
pomegranate,111,38,101,100,49,22,32
pomegranate,93,39,95,95,51,22,32
pomegranate,98,39,94,89,49,22,32
pomegranate,111,39,110,111,52,22,32
pomegranate,141,39,118,110,52,22,32
pomegranate,112,42,103,103,49,22,32
pomegranate,108,39,101,100,50,22,32
pomegranate,122,39,118,112,52,22,32
pomegranate,86,39,83,99,51,22,32
pomegranate,110,39,103,99,50,22,32
pomegranate,123,39,116,116,49,22,32
pomegranate,94,40,99,94,50,22,32
pomegranate,121,40,109,118,53,22,32
pomegranate,112,40,96,106,49,22,32
pomegranate,118,38,112,101,50,22,32
pomegranate,119,39,109,110,49,22,32
pomegranate,108,37,98,87,50,22,32
pomegranate,120,40,106,114,50,22,32
pomegranate,120,40,110,107,51,22,32
pomegranate,99,38,96,94,50,22,32
pomegranate,121,40,112,113,52,22,32
pomegranate,109,40,91,94,51,22,32
pomegranate,123,40,113,113,50,22,32
pomegranate,96,40,95,87,50,22,32
pomegranate,126,39,124,113,50,22,32
pomegranate,101,40,101,91,52,22,32
pomegranate,122,40,115,107,50,22,32
pomegranate,109,39,89,102,49,22,32
pomegranate,117,39,122,120,51,22,32
pomegranate,122,41,108,110,50,22,32
pomegranate,98,39,92,99,49,22,32
pomegranate,117,40,105,112,49,22,32
pomegranate,115,40,102,108,50,22,32
pomegranate,112,39,100,106,51,22,32
pomegranate,124,40,113,115,49,22,32
