Over_Ripe fruit,TGS2620,TGS2610,TGS2602,MQ4,MQ5,temp,humid
Grapes,223,87,199,200,28,26,43
Grapes,181,85,163,163,25,26,43
Grapes,185,86,178,170,27,26,43
Grapes,181,83,155,168,26,26,43
Grapes,169,85,152,153,26,26,43
Grapes,159,88,157,145,26,26,43
Grapes,173,87,169,158,26,26,43
Grapes,166,85,159,155,26,26,43
Grapes,177,88,141,163,27,26,43
Grapes,179,90,162,175,29,26,43
Grapes,152,90,141,157,27,26,43
Grapes,188,90,173,176,27,26,43
Grapes,162,91,150,147,27,26,43
Grapes,179,91,158,151,28,26,43
Grapes,185,92,160,172,27,26,43
Grapes,152,94,151,152,27,26,43
Grapes,163,93,155,154,28,26,43
Grapes,181,94,166,172,28,26,43
Grapes,194,91,163,184,28,26,43
Grapes,171,92,169,165,28,26,43
Grapes,170,93,160,164,28,26,43
Grapes,171,94,162,164,29,26,43
Grapes,172,93,163,165,28,26,43
Grapes,182,93,163,172,28,26,43
Grapes,165,94,158,153,28,26,43
Grapes,139,94,154,131,30,26,43
Grapes,155,95,145,141,29,26,43
Grapes,169,95,151,157,28,26,43
Grapes,182,96,168,170,28,26,43
Grapes,157,95,149,148,28,26,43
Grapes,140,97,148,143,30,26,43
Grapes,185,95,173,165,29,26,43
Grapes,158,96,143,150,30,26,43
Grapes,166,96,157,159,30,26,43
Grapes,159,96,150,147,29,26,43
Grapes,164,96,154,159,29,26,43
Grapes,168,95,159,156,30,26,43
Grapes,153,99,143,141,30,26,43
Grapes,159,97,147,147,30,26,43
Grapes,174,97,165,162,30,26,43
Grapes,152,98,129,147,32,26,43
Grapes,157,98,148,145,29,26,43
Grapes,160,98,152,152,31,26,43
Grapes,170,98,150,153,30,26,43
Grapes,168,100,160,159,30,26,43
Grapes,154,98,142,148,31,26,43
Grapes,161,100,154,154,31,26,43
Grapes,180,100,166,172,31,26,43
Grapes,156,100,152,148,32,26,43
Grapes,165,100,161,158,32,26,43
Grapes,180,101,171,163,33,26,43
Grapes,155,100,152,156,32,26,43
Grapes,172,101,161,160,33,26,43
Grapes,168,101,162,159,31,26,43
Grapes,152,101,154,148,31,26,43
Grapes,189,101,167,177,31,26,43
Grapes,164,102,155,155,31,26,43
Grapes,150,102,149,146,31,26,43
Grapes,174,102,161,166,31,26,43
Grapes,156,103,152,153,31,26,43
Grapes,161,103,142,139,32,26,43
Grapes,157,103,158,151,32,26,43
Grapes,172,103,164,169,31,26,43
Grapes,171,104,170,157,31,26,43
Grapes,188,103,165,174,32,26,43
Grapes,176,105,173,161,31,26,43
Grapes,177,104,173,167,32,26,43
Grapes,188,104,169,178,31,26,43
Grapes,183,103,177,175,32,26,43
Grapes,166,104,176,165,31,26,43
Grapes,184,103,164,171,33,26,43
Grapes,176,106,169,171,32,26,43
Grapes,171,105,162,161,32,26,43
Grapes,154,106,156,147,33,26,43
Grapes,146,105,153,149,32,26,43
Grapes,184,106,164,172,33,26,43
Grapes,159,106,163,154,32,26,43
Grapes,169,108,157,154,32,26,43
Grapes,188,107,167,182,32,26,43
Grapes,171,107,161,164,33,26,43
Grapes,191,108,174,178,32,26,43
Grapes,199,108,179,182,32,26,43
Grapes,182,109,174,171,32,26,43
Grapes,177,108,169,164,33,26,43
Grapes,179,109,164,172,33,26,43
Grapes,190,108,178,181,32,26,43
Grapes,195,108,188,181,34,26,43
Grapes,202,109,176,192,34,26,43
Grapes,198,108,173,192,33,26,43
Grapes,201,110,178,186,34,26,43
Grapes,200,109,177,182,33,26,43
Grapes,201,110,183,185,34,26,43
Grapes,194,111,177,186,33,26,43
Grapes,194,110,178,175,34,26,43
Grapes,197,110,185,185,34,26,43
Grapes,185,109,191,175,35,26,43
Grapes,192,109,186,178,34,26,43
Grapes,177,111,160,168,35,26,43
Grapes,174,112,164,166,34,26,43
Grapes,192,112,178,184,34,26,43
Grapes,192,111,169,179,34,26,43
Grapes,156,112,173,150,34,26,43
Grapes,170,113,159,170,35,26,43
Grapes,171,112,169,167,34,26,43
Grapes,175,112,166,163,33,26,43
Grapes,165,113,167,158,33,26,43
Grapes,169,114,168,152,35,26,43
Grapes,195,114,181,179,35,26,43
Grapes,180,113,169,174,34,26,43
Grapes,168,113,170,164,35,26,43
Grapes,196,115,178,181,35,26,43
Grapes,174,114,165,161,36,26,43
Grapes,189,113,184,180,34,26,43
Grapes,187,113,171,171,34,26,43
Grapes,178,114,166,171,35,26,43
Grapes,191,115,190,180,35,26,43
Grapes,177,116,173,167,36,26,43
Grapes,178,115,168,172,35,26,43
Grapes,188,116,177,177,35,26,43
Grapes,198,114,185,187,35,26,43
Grapes,184,114,180,175,35,26,43
Grapes,177,115,158,173,33,26,43
Grapes,165,117,167,155,34,26,43
Grapes,161,115,170,164,33,26,43
Grapes,184,115,175,178,36,26,43
Grapes,197,115,185,190,36,26,43
Grapes,168,115,166,169,35,26,43
Grapes,178,115,172,169,36,26,43
Grapes,195,116,188,182,35,26,43
Grapes,187,118,183,178,37,26,43
Grapes,170,117,165,159,35,26,43
Grapes,188,116,186,177,36,26,43
Grapes,201,117,173,188,36,26,43
Grapes,172,117,158,156,38,26,43
Grapes,185,119,169,178,37,26,43
Grapes,202,117,185,193,36,26,43
Grapes,157,119,168,152,36,26,43
Grapes,191,117,181,181,38,26,43
Grapes,170,118,161,173,36,26,43
Grapes,182,119,185,173,38,26,43
Grapes,175,118,178,169,37,26,43
Grapes,204,119,172,187,39,26,43
Grapes,186,119,177,181,36,26,43
Grapes,183,120,170,166,38,26,43
Grapes,191,120,193,176,36,26,43
Grapes,172,120,170,168,37,26,43
Grapes,189,118,180,180,38,26,43
Grapes,192,117,163,175,36,26,43
Grapes,186,120,175,180,38,26,43
Grapes,185,120,179,178,38,26,43
Grapes,183,119,176,171,37,26,43
Grapes,194,119,184,183,38,26,43
Grapes,176,119,159,169,35,26,43
Grapes,201,119,186,187,39,26,43
Grapes,194,120,185,189,37,26,43
Grapes,190,120,181,181,37,26,43
Grapes,176,119,170,171,35,26,43
Grapes,178,121,159,173,38,26,43
Grapes,175,120,171,163,37,26,43
Grapes,178,122,168,164,38,26,43
Grapes,191,121,184,185,35,26,43
Grapes,183,122,177,180,40,26,43
Grapes,188,121,183,186,35,26,43
Grapes,181,121,185,174,36,26,43
Grapes,197,121,186,188,37,26,43
Grapes,172,122,167,166,37,26,43
Grapes,197,122,193,187,37,26,43
Grapes,170,122,173,163,37,26,43
Grapes,184,123,178,174,36,26,43
Grapes,197,122,194,188,37,26,43
Grapes,191,126,188,188,38,26,43
Grapes,174,122,184,168,38,26,43
Grapes,170,124,168,158,37,26,43
Grapes,187,122,179,186,37,26,43
Grapes,197,123,184,190,38,26,43
Grapes,182,123,166,173,38,26,43
Grapes,195,125,183,187,37,26,43
Grapes,180,124,174,179,38,26,43
Grapes,204,124,190,197,38,26,43
Grapes,186,124,166,170,38,26,43
Grapes,183,123,176,172,38,26,43
Grapes,190,122,186,197,38,26,43
Grapes,192,123,193,188,38,26,43
Grapes,204,124,184,198,38,26,43
Grapes,192,124,193,177,38,26,43
Grapes,203,123,187,198,37,26,43
Grapes,199,124,188,187,38,26,43
Grapes,198,126,190,185,39,26,43
Grapes,184,125,177,179,39,26,43
Grapes,171,124,175,168,38,26,43
Grapes,195,126,183,185,38,26,43
Grapes,205,125,191,193,38,26,43
Grapes,190,126,169,188,38,26,43
Grapes,176,124,176,165,39,26,43
Grapes,201,125,193,190,38,26,43
Grapes,198,126,189,187,38,26,43
Grapes,179,130,176,176,38,26,43
Grapes,190,127,181,183,39,26,43
Grapes,202,125,188,186,39,26,43
Grapes,200,124,192,192,39,26,43
Grapes,209,123,199,196,39,26,43
Grapes,205,124,197,194,40,26,43
Grapes,198,124,189,189,39,26,43
Grapes,179,123,174,176,40,26,43
Grapes,186,124,179,175,39,26,43
Grapes,204,123,195,201,38,26,43
Grapes,198,123,175,189,40,26,43
Grapes,194,124,179,182,40,26,43
Grapes,207,121,200,192,39,26,43
Grapes,192,122,191,186,40,26,43
Grapes,206,123,187,192,40,26,43
Grapes,197,123,186,190,40,26,43
Grapes,203,122,191,189,40,26,43
Grapes,208,122,196,194,40,26,43
Grapes,189,123,184,180,41,26,43
